OrderID,OrderDate,CustomerName,Email,Country,ProductCategory,Quantity,UnitPrice,Discount,PaymentMethod,IsReturned
ORD-20082,21-Jun-2026,Customer 1082,customer1082@example.com,UK,apparel,5.0,192.53,0.04,PayPal,0
ORD-20171,"August 03, 2025",Customer 1171,,UK,electronics,5.0,$37.15,0.03,Gift Card,No
ORD-20984,2025-03-01,Customer 1084,  customer1084@example.com ,DE,Sports ,4.0,$207.43,0.3,Credit Card,false
ORD-20750,04-Feb-2026,Customer 1750,customer1750@example.com,United kingdom,Home & Garden,3.0,$165.10,0.15,Gift Card,N
ORD-21100,2026-04-09,Customer 1200,customer1200@example.com,AUSTRALIA,home and garden,1.0,$25.89,0.16,Credit Card,0
ORD-20127,"March 15, 2025",Customer 1127,customer1127@example.com,england,Electronics ,4.0,135.98,0.26,Gift Card,0
ORD-20557,09/04/2025,Customer 1557,customer1557@example.com,AUSTRALIA,Electronic,3.0,177.34,0.3,PayPal,false
ORD-20857,05/16/2025,Customer 1857,customer1857@example.com,germany,Apparel,5.0,$98.42,0.0,Debit Card,0
ORD-21195,"November 20, 2025",Customer 1295,  customer1295@example.com ,canada,Beuaty,4.0,$36.54,0.15,PayPal,0
ORD-21159,"August 20, 2025",Customer 1259,customer1259@example.com,DE,Electronics ,1.0,88.21,0.08,Credit Card,FALSE
ORD-21328,2026-06-02,Customer 1428,customer1428@example.com,australia,apparel,3.0,61.01,0.24,PayPal,0
ORD-20659,"April 02, 2025",Customer 1659,customer1659@example.com,germany,electronics,2.0,31.59,0.27,Debit Card,N
ORD-20460,2025-03-24,Customer 1460,customer1460@example.com,Canada,sports,,77.76,0.17,PayPal,FALSE
ORD-20088,2026-01-20,Customer 1088,customer1088@example.com,Germany,Sports,5.0,$22.54,0.05,Gift Card,false
ORD-20447,"September 29, 2025",Customer 1447,  customer1447@example.com ,GERMANY,electronics,1.0,188.45,0.03,Debit Card,No
ORD-20785,12/14/2025,Customer 1785,  customer1785@example.com ,U.S.A.,Electronics,,$22.69,0.06,Debit Card,0
ORD-21456,2026-04-23,Customer 1556,customer1556@example.com,United states,apparel,3.0,$51.33,0.22,,1
ORD-21345,07/07/2026,Customer 1445,customer1445@example.com,America, Beauty,1.0,139.15,0.14,Gift Card,N
ORD-20325,04/03/2025,Customer 1325,  customer1325@example.com ,AUSTRALIA,ELECTRONICS,1.0,11.84,0.29,PayPal,No
ORD-20869,05/08/2025,Customer 1869,customer1869@example.com,United kingdom,apparel,3.0,$135.29,0.22,Gift Card,N
ORD-20246,08-Apr-2025,Customer 1246,customer1246@example.com,United States,Beauty,2.0,184.82,0.21,Gift Card,no
ORD-20278,27-Feb-2025,Customer 1278,  customer1278@example.com ,australia,Electronic,2.0,$178.69,0.19,Credit Card,FALSE
ORD-21058,21-Feb-2026,Customer 1158,  customer1158@example.com ,england,home and garden,4.0,$47.03,0.02,Credit Card,0
ORD-21444,2025-11-13,Customer 1544,customer1544@example.com,canada,APPAREL,3.0,$39.79,0.3,Credit Card,No
ORD-20716,2025-11-09,Customer 1716,customer1716@example.com,United Kingdom,Beauty,4.0,$102.99,0.24,PayPal,N
ORD-21553,03/19/2026,Customer 1653,customer1653@example.com,United kingdom,Electronics,4.0,27.17,0.28,Credit Card,FALSE
ORD-20787,"July 08, 2026",Customer 1787,customer1787@example.com,us,Beauty,2.0,$213.31,0.28,Debit Card,false
ORD-20997,11/10/2025,Customer 1097,  customer1097@example.com ,Australia,Home & Garden,4.0,147.66,0.08,Debit Card,0
ORD-20710,25-Feb-2026,Customer 1710,  customer1710@example.com ,USA,Appreal,5.0,$33.17,0.04,PayPal,0
ORD-20905,07/12/2026,Customer 1005,customer1005@example.com,U.K.,Apparel,1.0,$30.80,,Credit Card,0
ORD-21351,"February 18, 2026",Customer 1451,  customer1451@example.com ,AUS,Sports,4.0,$19.21,0.21,Credit Card,FALSE
ORD-20324,2025-11-15,Customer 1324,customer1324@example.com,canada,Home & garden,1.0,181.0,0.23,PayPal,no
ORD-20457,03/24/2025,Customer 1457,customer1457@example.com,england,Home & Garden,2.0,27.12,0.03,Gift Card,0
ORD-20425,05/18/2025,Customer 1425,customer1425@example.com,AUS,Home & garden,2.0,$90.31,0.02,Credit Card,No
ORD-21366,16-Feb-2026,Customer 1466,customer1466@example.com,CANADA,Beauty,5.0,151.27,0.02,Gift Card,no
ORD-20107,"August 09, 2025",Customer 1107,customer1107@example.com,germany,Electronic,2.0,$23.82,0.02,Debit Card,no
ORD-20995,"March 08, 2025",Customer 1095,  customer1095@example.com ,GERMANY,Home & garden,2.0,$20.11,0.19,PayPal,FALSE
ORD-21198,17-Jun-2025,Customer 1298,  customer1298@example.com ,DE,Beuaty,4.0,197.48,0.21,Debit Card,No
ORD-20309,05/04/2025,Customer 1309,  customer1309@example.com ,GERMANY,Electronics ,5.0,$114.34,0.04,Gift Card,No
ORD-20783,"July 03, 2026",Customer 1783,customer1783@example.com,U.K., Apparel,4.0,$178.09,0.1,Credit Card,N
ORD-20239,"February 24, 2026",Customer 1239,  customer1239@example.com ,America,Sports,4.0,54.21,0.18,Gift Card,0
ORD-21308,2025-08-06,Customer 1408,customer1408@example.com,Canada,Electronics ,3.0,132.68,0.23,Debit Card,false
ORD-21290,13-Dec-2025,Customer 1390,customer1390@example.com,GERMANY,Home & Garden,4.0,$163.21,0.02,Gift Card,Yes
ORD-21476,2025-12-27,Customer 1576,customer1576@example.com,germany,Home&Garden,1.0,71.2,,PayPal,N
ORD-20217,08/23/2025,Customer 1217,customer1217@example.com,United kingdom,Apparel,5.0,198.43,,Debit Card,0
ORD-20820,2026-08-17,Customer 1820,customer1820@example.com,AUSTRALIA,Apparel,1.0,148.55,0.1,Credit Card,false
ORD-21549,06/01/2026,Customer 1649,customer1649@example.com,U.K.,SPORTS,5.0,102.38,0.18,Gift Card,TRUE
ORD-21173,04/22/2025,Customer 1273,customer1273@example.com,CA,Sports,3.0,$172.95,0.06,Credit Card,FALSE
ORD-20980,2025-11-24,Customer 1080,  customer1080@example.com ,australia,APPAREL,1.0,177.25,0.28,Debit Card,no
ORD-20672,2025-07-12,Customer 1672,customer1672@example.com,Australia, Beauty,5.0,$121.76,0.26,Gift Card,false
ORD-21220,2025-04-24,Customer 1320,customer1320@example.com,Canada,apparel,3.0,$92.05,0.16,PayPal,false
ORD-21296,2025-12-11,Customer 1396,  customer1396@example.com ,United States,Electronics ,1.0,$215.37,0.21,PayPal,true
ORD-20573,12/20/2025,Customer 1573,customer1573@example.com,U.K., Apparel,5.0,$63.67,0.15,Gift Card,no
ORD-20655,"June 21, 2026",Customer 1655,customer1655@example.com,United States,Home & Garden,4.0,90.29,0.27,PayPal,FALSE
ORD-20943,"June 04, 2026",Customer 1043,customer1043@example.com,GERMANY,Sports,4.0,59.03,0.23,PayPal,N
ORD-20201,07/14/2026,Customer 1201,customer1201@example.com,United kingdom,Beauty,2.0,186.77,0.29,Gift Card,0
ORD-20470,22-Apr-2026,Customer 1470,customer1470@example.com,USA,home and garden,1.0,110.73,0.1,Credit Card,false
ORD-21408,2025-04-21,Customer 1508,customer1508@example.com,canada,Sports,1.0,94.91,0.17,Gift Card,TRUE
ORD-20070,21-Jun-2025,Customer 1070,customer1070@example.com,germany,ELECTRONICS,1.0,$24.18,0.09,Debit Card,N
ORD-21230,14-Aug-2026,Customer 1330,customer1330@example.com,United Kingdom,electronics,4.0,150.56,0.02,Debit Card,0
ORD-21232,2025-07-03,Customer 1332,,GERMANY,Appreal,,191.31,0.22,PayPal,FALSE
ORD-20117,09/24/2025,Customer 1117,  customer1117@example.com ,AUS,electronics,2.0,$70.34,0.17,Debit Card,0
ORD-21197,06/28/2025,Customer 1297,customer1297@example.com,germany,sports,2.0,$201.36,0.02,Debit Card,TRUE
ORD-20499,"February 18, 2026",Customer 1499,  customer1499@example.com ,Germany,Electronics ,4.0,$28.62,0.13,Gift Card,no
ORD-20053,12/03/2025,Customer 1053,customer1053@example.com,U.K.,Sports ,4.0,$42.79,0.13,Debit Card,false
ORD-20461,04/19/2026,Customer 1461,customer1461@example.com,United Kingdom,home and garden,1.0,$74.56,0.26,Debit Card,no
ORD-20754,08-Nov-2025,Customer 1754,  customer1754@example.com ,GERMANY,Appreal,2.0,191.24,0.25,Debit Card,0
ORD-21165,09/30/2025,Customer 1265,customer1265@example.com,AUSTRALIA,SPORTS,4.0,33.39,0.28,Credit Card,TRUE
ORD-20041,05/28/2026,Customer 1041,  customer1041@example.com ,America,Appreal,1.0,175.49,0.06,Gift Card,No
ORD-21144,2025-03-26,Customer 1244,  customer1244@example.com ,AUS, Apparel,1.0,$191.99,0.21,Gift Card,false
ORD-20394,02-Feb-2026,Customer 1394,  customer1394@example.com ,germany, Apparel,2.0,$85.90,0.29,Credit Card,no
ORD-20369,02/20/2026,Customer 1369,  customer1369@example.com ,AUSTRALIA,ELECTRONICS,1.0,$114.40,0.25,Credit Card,yes
ORD-20413,05/20/2026,Customer 1413,customer1413@example.com,U.K.,electronics,1.0,$155.37,0.12,Debit Card,0
ORD-20958,03-Sep-2025,Customer 1058,customer1058@example.com,canada,Home & Garden,1.0,135.93,0.11,Gift Card,FALSE
ORD-20711,"September 02, 2025",Customer 1711,  customer1711@example.com ,Germany, Beauty,2.0,200.48,0.07,Debit Card,No
ORD-20214,19-Feb-2026,Customer 1214,customer1214@example.com,germany,Sports ,2.0,71.64,0.15,Debit Card,FALSE
ORD-21349,04/05/2026,Customer 1449,  customer1449@example.com ,germany,HOME & GARDEN,5.0,$44.00,0.19,PayPal,1
ORD-21472,2025-06-28,Customer 1572,customer1572@example.com,America,Electronic,5.0,$143.16,0.24,Gift Card,0
ORD-20175,"September 21, 2025",Customer 1175,customer1175@example.com,Canada,home and garden,2.0,69.63,0.27,PayPal,Yes
ORD-21528,2026-08-04,Customer 1628,,United Kingdom,apparel,5.0,73.75,0.05,Credit Card,no
ORD-21006,17-May-2026,Customer 1106,customer1106@example.com,germany,Electronic,,160.45,0.03,Gift Card,0
ORD-20677,07/10/2026,Customer 1677,customer1677@example.com,Germany,Electronics ,1.0,135.91,0.16,Credit Card,N
ORD-20237,06/15/2026,Customer 1237,  customer1237@example.com ,CANADA,ELECTRONICS,3.0,$143.81,0.03,Debit Card,no
ORD-20722,12-Apr-2026,Customer 1722,  customer1722@example.com ,United States,BEAUTY,2.0,$208.74,0.1,Gift Card,no
ORD-20236,2025-07-24,Customer 1236,  customer1236@example.com ,GERMANY,Sports,3.0,45.92,0.2,Credit Card,0
ORD-21578,11-Jul-2025,Customer 1678,customer1678@example.com,CANADA,apparel,5.0,20.94,0.24,Debit Card,no
ORD-20911,"May 05, 2026",Customer 1011,customer1011@example.com,United States,Home&Garden,2.0,210.82,0.04,Gift Card,false
ORD-20411,"June 23, 2025",Customer 1411,customer1411@example.com,United Kingdom, Apparel,4.0,125.65,0.14,Debit Card,0
ORD-20130,15-Jun-2026,Customer 1130,  customer1130@example.com ,Australia,Beauty,5.0,180.61,0.26,Gift Card,no
ORD-20870,07-Apr-2025,Customer 1870,customer1870@example.com,AUSTRALIA,Sports ,3.0,218.48,0.1,PayPal,No
ORD-20539,"August 24, 2025",Customer 1539,customer1539@example.com,,electronics,2.0,153.68,0.05,PayPal,No
ORD-21382,13-Aug-2026,Customer 1482,  customer1482@example.com ,AUSTRALIA,Sport,1.0,$36.55,0.18,PayPal,No
ORD-21402,05-Jul-2025,Customer 1502,customer1502@example.com,United Kingdom,Sport,5.0,$20.11,0.11,PayPal,false
ORD-20293,04/28/2026,Customer 1293,  customer1293@example.com ,GERMANY,Beuaty,1.0,100.26,0.14,Gift Card,no
ORD-21259,"August 02, 2026",Customer 1359,customer1359@example.com,germany,ELECTRONICS,3.0,$18.52,0.2,Gift Card,FALSE
ORD-20921,05/15/2025,Customer 1021,customer1021@example.com,Australia,APPAREL,4.0,132.63,0.29,Credit Card,N
ORD-20476,2025-07-12,Customer 1476,  customer1476@example.com ,Canada,Sport,3.0,157.77,0.07,Credit Card,0
ORD-21004,2026-05-07,Customer 1104,customer1104@example.com,australia,Beauty,1.0,44.48,0.2,Debit Card,No
ORD-20398,15-Nov-2025,Customer 1398,customer1398@example.com,United Kingdom,apparel,4.0,155.04,0.26,PayPal,0
ORD-21576,2026-01-20,Customer 1676,customer1676@example.com,DE,sports,2.0,181.18,0.07,Credit Card,no
ORD-21177,11/30/2025,Customer 1277,customer1277@example.com,Germany, Apparel,1.0,116.54,0.24,Credit Card,no
ORD-21141,08/03/2026,Customer 1241,customer1241@example.com,AUSTRALIA,Electronic,3.0,$169.88,0.03,PayPal,N
ORD-20123,"December 16, 2025",Customer 1123,customer1123@example.com,AUS, Beauty,4.0,55.76,0.05,Gift Card,false
ORD-21491,"June 02, 2026",Customer 1591,customer1591@example.com,germany, Apparel,5.0,$214.77,0.01,Credit Card,0
ORD-21447,"May 05, 2025",Customer 1547,customer1547@example.com,australia,APPAREL,2.0,146.13,0.27,Gift Card,no
ORD-20687,"November 15, 2025",Customer 1687,  customer1687@example.com ,,Electronics ,2.0,188.94,0.02,Gift Card,false
ORD-20967,"April 17, 2026",Customer 1067,customer1067@example.com,germany,Home & Garden,1.0,180.29,,Gift Card,false
ORD-20595,"March 23, 2025",Customer 1595,customer1595@example.com,,Beauty,3.0,$83.68,0.26,Debit Card,N
ORD-20730,07-Jan-2026,Customer 1730,  customer1730@example.com ,U.K.,APPAREL,2.0,73.56,0.03,PayPal,No
ORD-20538,18-Feb-2026,Customer 1538,  customer1538@example.com ,australia, Apparel,4.0,$70.65,0.07,,FALSE
ORD-20735,"December 07, 2025",Customer 1735,customer1735@example.com,Australia,Electronic,1.0,191.95,0.06,Credit Card,no
ORD-20828,2026-06-04,Customer 1828,customer1828@example.com,United states,Sports ,2.0,$105.56,0.22,Debit Card,N
ORD-20763,"February 16, 2026",Customer 1763,customer1763@example.com,australia,apparel,2.0,11.62,0.28,PayPal,false
ORD-20925,04/16/2025,Customer 1025,customer1025@example.com,Australia,Beuaty,5.0,147.74,0.17,Credit Card,false
ORD-21139,"April 05, 2026",Customer 1239,  customer1239@example.com ,United Kingdom,home and garden,3.0,$111.82,0.26,Debit Card,N
ORD-20613,09/02/2025,Customer 1613,customer1613@example.com,DE,Electronic,1.0,$127.76,0.14,Credit Card,FALSE
ORD-21421,05/30/2025,Customer 1521,customer1521@example.com,U.K.,Sports ,1.0,129.03,0.03,Credit Card,no
ORD-21167,"September 09, 2025",Customer 1267,,australia,electronics,4.0,104.05,0.03,Credit Card,No
ORD-20916,2025-04-04,Customer 1016,customer1016@example.com,America,HOME & GARDEN,2.0,35.1,0.16,PayPal,FALSE
ORD-20746,08-Jul-2025,Customer 1746,customer1746@example.com,germany,,2.0,$14.42,0.3,PayPal,FALSE
ORD-21090,23-Aug-2025,Customer 1190,customer1190@example.com,CANADA,ELECTRONICS,2.0,$103.79,0.04,Debit Card,false
ORD-21510,24-Jun-2026,Customer 1610,customer1610@example.com,AUSTRALIA,Electronics,1.0,200.29,0.01,Debit Card,true
ORD-21385,08/13/2025,Customer 1485,customer1485@example.com,AUS,Sports,1.0,$197.99,0.29,Debit Card,no
ORD-21526,08-May-2025,Customer 1626,customer1626@example.com,Germany,Sports,1.0,29.81,0.22,Gift Card,no
ORD-20349,10/16/2025,Customer 1349,customer1349@example.com,CANADA,Beauty,4.0,70.83,0.22,Gift Card,false
ORD-20255,"July 03, 2025",Customer 1255,  customer1255@example.com ,Australia,Electronic,1.0,214.54,0.15,PayPal,N
ORD-20771,"February 02, 2026",Customer 1771,customer1771@example.com,germany,APPAREL,2.0,193.21,0.12,Debit Card,false
ORD-21117,12/27/2025,Customer 1217,  customer1217@example.com ,GERMANY,Electronics,4.0,91.26,,Credit Card,No
ORD-20021,11/16/2025,Customer 1021,customer1021@example.com,United Kingdom,Home & Garden,3.0,81.11,0.19,Debit Card,false
ORD-21179,"March 21, 2025",Customer 1279,customer1279@example.com,USA,Sports ,4.0,32.94,0.17,PayPal,false
ORD-20061,09/29/2025,Customer 1061,customer1061@example.com,United Kingdom,Sports ,2.0,$195.95,0.11,Gift Card,0
ORD-20801,05/04/2026,Customer 1801,customer1801@example.com,America,Home&Garden,3.0,187.07,0.12,Debit Card,0
ORD-20707,"August 28, 2025",Customer 1707,customer1707@example.com,U.K.,Apparel,5.0,$150.85,0.27,Credit Card,false
ORD-20220,2025-11-12,Customer 1220,  customer1220@example.com ,AUS,Apparel,1.0,39.48,0.26,Debit Card,N
ORD-20800,2025-11-18,Customer 1800,customer1800@example.com,AUSTRALIA,beauty,4.0,83.32,0.23,Gift Card,false
ORD-20561,06/18/2025,Customer 1561,customer1561@example.com,Germany,ELECTRONICS,5.0,34.8,0.16,Debit Card,N
ORD-20402,14-Dec-2025,Customer 1402,customer1402@example.com,us,Home & Garden,2.0,140.3,0.23,PayPal,no
ORD-20647,"May 24, 2026",Customer 1647,  customer1647@example.com ,us,Electronic,2.0,17.59,0.21,Gift Card,false
ORD-20135,"May 26, 2026",Customer 1135,customer1135@example.com,U.K.,Apparel,1.0,$54.76,0.04,PayPal,No
ORD-21411,"July 29, 2025",Customer 1511,customer1511@example.com,U.K.,electronics,1.0,$104.60,0.01,Gift Card,FALSE
ORD-21110,01-Oct-2025,Customer 1210,  customer1210@example.com ,America,SPORTS,1.0,$108.53,0.2,Credit Card,0
ORD-20549,05/25/2025,Customer 1549,customer1549@example.com,canada,beauty,4.0,63.51,0.24,Credit Card,no
ORD-20563,"February 27, 2025",Customer 1563,customer1563@example.com,AUSTRALIA,home and garden,2.0,$99.77,0.19,Debit Card,FALSE
ORD-21559,"August 05, 2026",Customer 1659,customer1659@example.com,USA,Sport,3.0,123.38,0.23,PayPal,no
ORD-20169,05/23/2025,Customer 1169,customer1169@example.com,germany,Beuaty,4.0,$151.93,0.29,Credit Card,1
ORD-21497,04/10/2026,Customer 1597,customer1597@example.com,UK,beauty,2.0,$219.18,0.07,Gift Card,N
ORD-21354,28-Mar-2025,Customer 1454,customer1454@example.com,UK,home and garden,4.0,196.34,0.15,Gift Card,false
ORD-21367,"February 24, 2026",Customer 1467,  customer1467@example.com ,U.K.,Appreal,4.0,128.41,0.21,,0
ORD-20767,"August 29, 2025",Customer 1767,customer1767@example.com,United Kingdom,Home&Garden,4.0,86.13,0.28,Gift Card,no
ORD-20320,2025-07-31,Customer 1320,customer1320@example.com,DE,sports,4.0,$146.97,0.15,Gift Card,0
